"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","data15.y"
"1",-0.000413248953628275,"services","divorced","high.school","no","no","no","telephone","jun","thu",0.024508953035328,-0.204201216096055,0.194346648108305,-0.350238219156078,"nonexistent",0.844460094517872,1.5311150994791,-0.275614702401627,0.722947142824369,0.849049685156894,"no"
"2",-0.384830880235688,"services","married","basic.6y","no","no","no","telephone","may","fri",0.14540985593544,0.177055722096728,0.194346648108305,-0.350238219156078,"nonexistent",0.653388482942645,0.719841142681495,0.885701323885292,0.716619504778148,0.338335572611433,"no"
"3",-0.961457327158777,"services","married","high.school","no","yes","no","cellular","may","fri",0.644613584039126,-0.585458154288838,0.194346648108305,-0.350238219156078,"nonexistent",-1.19363709561788,-1.17657632320843,-1.22187220530208,-1.32087994610528,-0.926748711564502,"no"
"4",1.34504846053358,"technician","married","high.school","no","yes","no","cellular","apr","mon",-0.689196376987911,-0.585458154288838,0.194346648108305,-0.350238219156078,"nonexistent",-1.19363709561788,-0.863090420581754,-1.4154248763499,-1.26795788244597,-0.926748711564502,"no"
"5",0.76842201361049,"services","married","high.school","no","yes","no","telephone","jun","mon",-0.786697105133162,2.08334041306064,0.194346648108305,-0.350238219156078,"nonexistent",0.844460094517872,1.5311150994791,-0.275614702401627,0.777019686128447,0.849049685156894,"no"
"6",0.287899974507916,"retired","married","basic.4y","no","no","no","telephone","may","mon",0.590013176277785,0.177055722096728,0.194346648108305,-0.350238219156078,"nonexistent",0.653388482942645,0.719841142681495,0.885701323885292,0.717769984422915,0.338335572611433,"no"
"7",-0.384830880235688,"services","married","high.school","no","yes","no","telephone","jun","fri",-0.0690917459841132,-0.204201216096055,0.194346648108305,-0.350238219156078,"nonexistent",0.844460094517872,1.5311150994791,-0.275614702401627,0.776444446306063,0.849049685156894,"no"
"8",-0.961457327158777,"technician","married","professional.course","no","no","yes","telephone","may","fri",0.523712681139014,-0.204201216096055,0.194346648108305,-0.350238219156078,"nonexistent",0.653388482942645,0.719841142681495,0.885701323885292,0.716619504778148,0.338335572611433,"no"
"9",-0.769248511517747,"technician","single","university.degree","no","yes","no","cellular","aug","wed",-0.0729917751099232,-0.204201216096055,0.194346648108305,-0.350238219156078,"nonexistent",-1.89423300472704,-2.36851173319557,1.96099394081763,-1.58491502457945,-1.24198734168017,"yes"
"10",-1.05756173497929,"blue-collar","single","university.degree","no","no","no","telephone","may","tue",-0.236792998393945,-0.585458154288838,0.194346648108305,-0.350238219156078,"nonexistent",0.653388482942645,0.719841142681495,0.885701323885292,0.717769984422915,0.338335572611433,"no"
